
{ platform:iOS Simulator, arch:arm64, id:2BAFD9B3-02EE-42D9-B0FD-DB39E263C8AB, OS:18.6, name:iPad Air 11-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:2BAFD9B3-02EE-42D9-B0FD-DB39E263C8AB, OS:18.6, name:iPad Air 11-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:8908DCA1-E3B2-484A-B73B-70A689DB2627, OS:26.0.1, name:iPad Air 11-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:8908DCA1-E3B2-484A-B73B-70A689DB2627, OS:26.0.1, name:iPad Air 11-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:4DDEB64A-FA5C-4ACE-849D-93A6A8023AF0, OS:26.1, name:iPad Air 11-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:4DDEB64A-FA5C-4ACE-849D-93A6A8023AF0, OS:26.1, name:iPad Air 11-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:FB2BC00F-8D5A-493F-BFED-46816BBB8F66, OS:26.2, name:iPad Air 11-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:FB2BC00F-8D5A-493F-BFED-46816BBB8F66, OS:26.2, name:iPad Air 11-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:76BE396E-2D2E-4C93-9EC5-447BEC8EE53B, OS:18.5, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:76BE396E-2D2E-4C93-9EC5-447BEC8EE53B, OS:18.5, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:AD3C1548-D2F2-42A9-B162-7FE654FE8D81, OS:18.6, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:AD3C1548-D2F2-42A9-B162-7FE654FE8D81, OS:18.6, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:7EBE8C49-3011-4266-972B-A74B502A92E7, OS:26.0.1, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:7EBE8C49-3011-4266-972B-A74B502A92E7, OS:26.0.1, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:049E0E9D-7E5D-4817-9436-B943C5E474D3, OS:26.1, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:049E0E9D-7E5D-4817-9436-B943C5E474D3, OS:26.1, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:1860FA54-F251-4ABC-922E-229B78F35A9B, OS:26.2, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:1860FA54-F251-4ABC-922E-229B78F35A9B, OS:26.2, name:iPad Air 11-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:DC300854-D9F0-45AD-AEDB-994990A762FD, OS:18.5, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:DC300854-D9F0-45AD-AEDB-994990A762FD, OS:18.5, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:0683CC77-AF13-4CC0-BEF7-DD0AAEB2A618, OS:18.6, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:0683CC77-AF13-4CC0-BEF7-DD0AAEB2A618, OS:18.6, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:3212A545-2297-4E58-8A10-75EEFEAA7F4A, OS:26.0.1, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:3212A545-2297-4E58-8A10-75EEFEAA7F4A, OS:26.0.1, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:DA9D3419-6112-4A7E-AD1D-5637043F030F, OS:26.1, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:DA9D3419-6112-4A7E-AD1D-5637043F030F, OS:26.1, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:E98D0440-312F-4AD7-AD50-84EAD586CF78, OS:26.2, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:x86_64, id:E98D0440-312F-4AD7-AD50-84EAD586CF78, OS:26.2, name:iPad Air 13-inch (M2) }
{ platform:iOS Simulator, arch:arm64, id:F8AA84E7-1E0E-4CA5-ABB8-0F06EAA3AE2F, OS:18.5, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:F8AA84E7-1E0E-4CA5-ABB8-0F06EAA3AE2F, OS:18.5, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:6DC96F3C-B987-4C35-B563-0D9E09800E82, OS:18.6, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:6DC96F3C-B987-4C35-B563-0D9E09800E82, OS:18.6, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:E10BF203-F01C-47DD-96EB-12A101F0B0DE, OS:26.0.1, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:E10BF203-F01C-47DD-96EB-12A101F0B0DE, OS:26.0.1, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:2DD88728-2E1C-487E-9BDD-EA29738E2DCC, OS:26.1, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:2DD88728-2E1C-487E-9BDD-EA29738E2DCC, OS:26.1, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:7E212EBC-E00F-496C-9F3A-2290CB873A56, OS:26.2, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:x86_64, id:7E212EBC-E00F-496C-9F3A-2290CB873A56, OS:26.2, name:iPad Air 13-inch (M3) }
{ platform:iOS Simulator, arch:arm64, id:E0B73613-5AB3-436C-A024-6823FC26C412, OS:18.5, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:E0B73613-5AB3-436C-A024-6823FC26C412, OS:18.5, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:A0CCC457-B9E9-4832-9A79-BC952DD26427, OS:18.6, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:A0CCC457-B9E9-4832-9A79-BC952DD26427, OS:18.6, name:iPad Pro 11-inch (M4) }
